name,description_html,type_id,state_id,priority,assignees,extra_properties,cycle_name,module_name
银行间债券借贷自动化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""6fe8459b-3b6b-4197-a29a-f95f2a7e20cc""]","{""req_source"": ""FICCREQ-431"", ""department"": ""中央交易室"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""银行间债券"", ""category_l3"": ""交易风控"", ""estimated_iteration"": ""待定"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
金交所撤单风控需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""86316c00-0847-43a8-8176-834f264e0307""]","{""req_source"": ""FICCREQ-432"", ""department"": ""中央交易室"", ""domestic_overseas"": ""境内"", ""category_l1"": ""贵金属"", ""category_l2"": ""贵金属"", ""category_l3"": ""交易风控"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
x-repo功能权限开放,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""6fe8459b-3b6b-4197-a29a-f95f2a7e20cc""]","{""req_source"": ""FICCREQ-433"", ""department"": ""资金运营部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""银行间债券"", ""category_l3"": ""交易风控"", ""estimated_iteration"": ""待定"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
信用拆借、回购审批模板迁移至BPM,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""6fe8459b-3b6b-4197-a29a-f95f2a7e20cc""]","{""req_source"": ""FICCREQ-434"", ""department"": ""资金运营部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""银行间债券/z资金"", ""category_l3"": ""交易风控"", ""estimated_iteration"": ""待定"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
交易对手三级授信风控,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""6fe8459b-3b6b-4197-a29a-f95f2a7e20cc""]","{""req_source"": ""FICCREQ-402"", ""department"": ""资金运营部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""银行间债券"", ""category_l3"": ""交易风控"", ""estimated_iteration"": ""待定"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0131,
备选流程迁移,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""15e4d327-6119-4941-85ac-624f7b021630""]","{""req_source"": ""FICC-89074"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""风险管理团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""6c2cb768-b63a-45b0-859e-859ab2345c4e""}",大象-常规-26-0131,
大象中英文语言体系支持-0131,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""6fe8459b-3b6b-4197-a29a-f95f2a7e20cc""]","{""department"": ""信息技术部"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""ee12bda6-18fc-4ad5-a35e-74c256781157""}",大象-常规-26-0131,
LAMP持续优化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""department"": ""信息技术部"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""74c21a3b-1b9b-47f2-b7ab-b8195738260d""}",大象-常规-26-0131,
AURORA平台优化及HAB整合,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""5ac3485a-8d93-454c-bd0d-0c048df1ba42""]","{""department"": ""信息技术部"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""77342d2f-a6cf-4a2d-8142-2f5f84d0636a""}",大象-常规-26-0131,
对接销售支持批量修改,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICC-88850"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3""}",大象-常规-26-0131,
iDeal客户画像持续开发,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICC-90232"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""3a43fac4-6a60-42e4-a1b8-3f434ce9cf87""}",大象-常规-26-0131,
"展业报错优化：
1.展业平台的报错增加HEADS标识
2.流程标题过长无法发起审批流程，需要前后端限制相同的长度",<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICC-89947"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3""}",大象-常规-26-0131,
"AI-framework 1.1.0 功能开发,主要在可观测性、文件上传解析等对齐泰为平台",<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89815"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""83886f15-62af-4860-b67e-ddc8f74b645d""}",大象-常规-26-0131,
应对香港机房本地化部署的平台架构POC，主要是nats-super-gateway，服务治理引入新维度等,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89815"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境外"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""待定"", ""techLead"": ""2bbec74b-683c-404b-9b10-af8fac6d5083""}",大象-常规-26-0131,
材料准入审核的权限控制、审核规则优化等,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89815"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""5ea6d7aa-57e3-4fc8-b536-a9fc3ba47ece""}",大象-常规-26-0131,
资产门户功能建设与优化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89254"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""e81b9f1b-4561-4eee-9b5a-20dcd9755b8f""}",大象-常规-26-0131,
CHAT BI方案选型调研,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89254"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""f571c740-8443-46cc-9ab0-a38c095b93ad""}",大象-常规-26-0131,
数仓任务治理,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""b5cf400d-4a1a-4daf-8ad7-dc33d720391c""]","{""req_source"": ""FICC-89254"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""平台架构团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""b9307fcf-2e0c-4081-b526-b84f755f6a37""}",大象-常规-26-0131,
场外平台入池流程审批人取值优化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""86316c00-0847-43a8-8176-834f264e0307""]","{""req_source"": ""FICC-82926"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""f3c11761-c49a-4e0c-befc-d08c882ad1d3""}",大象-常规-26-0131,
RDS文件加载,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,[],"{""req_source"": ""FICC-90112"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内/境外"", ""team"": ""客户端团队"", ""estimated_iteration"": ""0328迭代"", ""techLead"": ""f571c740-8443-46cc-9ab0-a38c095b93ad""}",大象-常规-26-0131,
评估和实施迁移一个集群的定时任务到新的“定时策略”体系下,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""req_source"": ""FICC-90370"", ""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""策略平台团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""c2929876-1c9a-4ce1-9258-cf3e287df9c6""}",大象-常规-26-0131,
场外库存券同步数智中台新增批次,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""department"": ""信息技术部"", ""domestic_overseas"": ""境内"", ""team"": ""交易团队"", ""estimated_iteration"": ""0131迭代"", ""techLead"": ""e202ab34-a1ae-43f4-a954-6acb32f61375""}",大象-常规-26-0131,
港交所外汇期货做市交易系统建设需求说明书,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""943c1313-5035-46a0-b1e2-91e3a19546a6""]","{""req_source"": ""FICCHEADS-1180"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""外汇"", ""category_l2"": ""外汇期货"", ""category_l3"": ""交易链路"", ""center"": ""做市业务中心"", ""team"": ""外汇做市台"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""预计2个迭代完成交付"", ""techLead"": ""98cb9446-ac30-4857-9c77-644999e62d52"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
TARF平台建设,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""req_source"": ""FICCHEADS-1167"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""场外衍生品"", ""category_l2"": ""TARF"", ""category_l3"": ""交易簿记"", ""center"": ""代客业务中心"", ""team"": ""外汇产品团队"", ""biz_pm"": ""陈思宇"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""预计3个以上迭代完成交付"", ""techLead"": ""f81bb5d7-a37c-4d34-b1fc-f92d46f5b2a8"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
港交所国债期货做市需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""943c1313-5035-46a0-b1e2-91e3a19546a6""]","{""req_source"": ""FICCHEADS-1089"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""center"": ""做市业务中心"", ""biz_pm"": ""武晨宇"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""techLead"": ""77342d2f-a6cf-4a2d-8142-2f5f84d0636a"", ""admission"": ""true"", ""in_delivery"": ""false""}",大象-常规-26-0307,
境外债自营风控优化需求,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""14b265fe-200d-46aa-8e25-66f57a1e130d""]","{""req_source"": ""FICCHEADS-1097"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""债券"", ""category_l2"": ""南向通债券"", ""category_l3"": ""交易风控"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""预计2个迭代完成交付"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
增加财富管理部私行中心客户准入流程,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICCHEADS-1082"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""数据报送"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""吴凡"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""预计2个迭代完成交付"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
其他债权投资和持有至到期损益计算逻辑优化,<p></p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""daa28f62-9d59-4c8a-9c93-28d931e72b99""]","{""req_source"": ""FICCHEADS-1136"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""业务报表"", ""center"": ""风险合规中心"", ""team"": ""风险管理团队"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""在研-优先级0"", ""estimated_iteration"": ""预计当前迭代完成交付"", ""techLead"": ""74c21a3b-1b9b-47f2-b7ab-b8195738260d"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
场外衍生品平台客户白名单新增产品规模校验提醒及CUBE平台同步需求,<p>从销售平台同步的客户白名单中的产品客户，同步客户的产品规模信息，实时展示并提示风险。对于白名单客户信息，支持销售平台同步至CUBE平台。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""1f032804-4e24-4b85-a5d3-e57bb39f84b4""]","{""req_source"": ""FICCHEADS-1000"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""销售业务"", ""category_l3"": ""销售管理"", ""center"": ""销售业务中心"", ""team"": ""代客销售团队"", ""biz_pm"": ""陈思宇"", ""biz_priority"": ""销售业务中心优先级1"", ""estimated_iteration"": ""预计当前迭代完成交付"", ""techLead"": ""144bf735-9e10-4029-84d0-85e3749bf5d3"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
OCI账户持仓减值计算方案调整需求说明书,<p>对以摊余成本计量的债券、以公允价值计量且其变动计入其他综合收益的债券的减值计算方法进行调整。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""86316c00-0847-43a8-8176-834f264e0307""]","{""req_source"": ""FICCHEADS-1110"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""综合"", ""category_l2"": ""风险管理"", ""category_l3"": ""账户管理"", ""center"": ""自营业务中心"", ""team"": ""自营交易五台"", ""biz_pm"": ""赵鸿达"", ""biz_priority"": ""自营业务中心优先级1"", ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""techLead"": ""74c21a3b-1b9b-47f2-b7ab-b8195738260d"", ""admission"": ""true"", ""in_delivery"": ""false""}",大象-常规-26-0307,
金控FICC美国国债自动化交易链路业务需求二期（XOR：大象报到彭博后无需交易员确认直接对外报单）,<p>实现自营中心美国国债交易链路建设，通过彭博XOR模块，实现大象报到彭博后无需交易员确认直接对外报单。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""8baed4ad-64c0-4922-b4bb-e9d77a865fd7""]","{""req_source"": ""FICCHEADS-1168"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""债券"", ""category_l2"": ""美国国债"", ""category_l3"": ""交易链路"", ""center"": ""自营业务中心"", ""team"": ""中央交易台/香港交易一台"", ""biz_pm"": ""沙学府"", ""biz_priority"": ""自营业务中心优先级2"", ""estimated_iteration"": ""预计当前迭代完成交付"", ""techLead"": ""0d5d1a69-68ee-4885-9bb7-bf93e92eb4aa"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
股指期货预埋触发单功能（重提）,<p>大象支持时间条件、价格条件等智能条件算法</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""req_source"": ""FICCHEADS-1175"", ""department"": ""固定收益部"", ""domestic_overseas"": ""境内"", ""category_l1"": ""期货"", ""category_l2"": ""股指期货"", ""category_l3"": ""交易链路"", ""center"": ""自营业务中心"", ""team"": ""自营交易七台"", ""biz_pm"": ""武晨宇"", ""biz_priority"": ""自营业务中心优先级3"", ""estimated_iteration"": ""本迭代无法启动后续重新排期"", ""techLead"": ""77342d2f-a6cf-4a2d-8142-2f5f84d0636a"", ""admission"": ""true"", ""in_delivery"": ""false""}",大象-常规-26-0307,
数据需求-同步trace数据到研发网,<p>本需求为纯数据类需求。因境外投研需求，需要使用trace数据进行境外债成交分析，因此需同步trace数据到研发网，该分析会在研发网环境进行。</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""req_source"": ""FICCHEADS-1171"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""债券"", ""category_l2"": ""境外信用债债"", ""category_l3"": ""数据接入"", ""center"": ""自营业务中心"", ""team"": ""自营交易四台"", ""biz_pm"": ""王逸"", ""biz_priority"": ""自营业务中心优先级4"", ""estimated_iteration"": ""预计当前迭代完成交付"", ""techLead"": ""77342d2f-a6cf-4a2d-8142-2f5f84d0636a"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
港交所外汇期货实时行情落库与订阅需求,<p>大象接入港交所外汇期货实时行情并落库，支持策略查询</p>,5e8c9352-8553-4e87-97dc-88594010f83a,4657dc96-1572-41e3-becd-0ba3d4ff8e22,none,"[""535b3838-1804-4a1f-8353-5320babd97b8""]","{""req_source"": ""FICCHEADS-1147"", ""department"": ""香港金控FICC"", ""domestic_overseas"": ""境外"", ""category_l1"": ""外汇"", ""category_l2"": ""外汇期货"", ""category_l3"": ""数据接入"", ""center"": ""做市业务中心"", ""team"": ""外汇做市台"", ""biz_pm"": ""武晨宇"", ""biz_priority"": ""做市业务中心优先级1"", ""estimated_iteration"": ""预计当前迭代完成交付"", ""techLead"": ""98cb9446-ac30-4857-9c77-644999e62d52"", ""admission"": ""true"", ""in_delivery"": ""true""}",大象-常规-26-0307,
